Order ID,Shipment name,Shipping Address,Destination city,State,Shipping country/region,Client ID,Order Date,Ship Date,Price,Quantity,Discount,Extended price,Shipping costs,Product Name
42,Roland Wacker,"Calle Décima, 123",Chicago,IL,México,10,2006-03-24,2006-04-07,22,10,0,220,0,Condimentos de Louisiana Northwind Traders
42,Roland Wacker,"Calle Décima, 123",Chicago,IL,México,10,2006-03-24,2006-04-07,9.2,10,0,92,0,Galletas de chocolate surtidas Northwind Traders
43,Peter Krschne,"Calle Decimoprimera, 123",Miami,FL,México,11,2006-03-24,,3.5,20,0,70,0,Ciruelas pasas Northwind Traders
43,Peter Krschne,"Calle Decimoprimera, 123",Miami,FL,México,11,2006-03-24,,2.99,50,0,149.5,0,Té verde Northwind Traders
44,Anna Bedecs,"Calle Primera, 123",Seattle,Madrid,México,1,2006-03-24,,18,25,0,450,0,Té Chai Northwind Traders
44,Anna Bedecs,"Calle Primera, 123",Seattle,Madrid,México,1,2006-03-24,,46,25,0,1150,0,Café Northwind Traders
44,Anna Bedecs,"Calle Primera, 123",Seattle,Madrid,México,1,2006-03-24,,2.99,25,0,74.75,0,Té verde Northwind Traders
45,Amritansh Raghav,"Calle Vigesimoséptima, 123",Memphis,TN,México,28,2006-04-07,2006-04-07,9.65,50,0,482.5,40,Sopa de almejas Northwind Traders
45,Amritansh Raghav,"Calle Vigesimoséptima, 123",Memphis,TN,México,28,2006-04-07,2006-04-07,18.4,50,0,920,40,Carne de cangrejo Northwind Traders
46,Sven Mortensen,"Calle Novena, 123",Salt Lake City,UT,México,9,2006-04-05,2006-04-05,19.5,100,0,1950,100,Ravioli Northwind Traders
46,Sven Mortensen,"Calle Novena, 123",Salt Lake City,UT,México,9,2006-04-05,2006-04-05,34.8,50,0,1740,100,Mozzarella Northwind Traders
47,Francisco Pérez-Olaeta,"Calle Sexta, 123",Milwaukee,WI,México,6,2006-04-08,2006-04-08,14,300,0,4200,300,Cerveza Northwind Traders
48,Elizabeth Andersen,"Calle Octava, 123",Portland,OR,México,8,2006-04-05,2006-04-05,40,25,0,1000,50,Salsa curry Northwind Traders
48,Elizabeth Andersen,"Calle Octava, 123",Portland,OR,México,8,2006-04-05,2006-04-05,9.2,25,0,230,50,Galletas de chocolate surtidas Northwind Traders
50,John Rodman,"Calle Vigesimoquinta, 123",Chicago,IL,México,25,2006-04-05,2006-04-05,10,20,0,200,5,Bollos de pan Northwind Traders
51,Run Liu,"Calle Vigesimosexta, 123",Miami,FL,México,26,2006-04-05,2006-04-05,21.35,25,0,533.75,60,Aceite de oliva Northwind Traders
51,Run Liu,"Calle Vigesimosexta, 123",Miami,FL,México,26,2006-04-05,2006-04-05,9.65,30,0,289.5,60,Sopa de almejas Northwind Traders
51,Run Liu,"Calle Vigesimosexta, 123",Miami,FL,México,26,2006-04-05,2006-04-05,18.4,30,0,552,60,Carne de cangrejo Northwind Traders
55,Soo Jung Lee,"Calle Vigesimonovena, 123",Denver,CO,México,29,2006-04-05,2006-04-05,14,87,0,1218,200,Cerveza Northwind Traders
56,Francisco Pérez-Olaeta,"Calle Sexta, 123",Milwaukee,WI,México,6,2006-04-03,2006-04-03,12.75,10,0,127.5,0,Chocolate Northwind Traders
57,Karen Toh,"Calle Vigesimoséptima, 123",Las Vegas,NV,México,27,2006-04-22,2006-04-22,,,,0,200,
58,Christina Lee,"Calle Cuarta, 123",Nueva York,NY,México,4,2006-04-22,2006-04-22,81,40,0,3240,5,Mermelada Northwind Traders
58,Christina Lee,"Calle Cuarta, 123",Nueva York,NY,México,4,2006-04-22,2006-04-22,7,40,0,280,5,Arroz de grano largo Northwind Traders
59,John Edwards,"Calle Decimosegunda, 123",Las Vegas,NV,México,12,2006-04-22,2006-04-22,,,,0,5,
60,Elizabeth Andersen,"Calle Octava, 123",Portland,OR,México,8,2006-04-30,2006-04-30,34.8,40,0,1392,50,Mozzarella Northwind Traders
61,Christina Lee,"Calle Cuarta, 123",Nueva York,NY,México,4,2006-04-07,2006-04-07,,,,0,4,
62,Soo Jung Lee,"Calle Vigesimonovena, 123",Denver,CO,México,29,2006-04-12,2006-04-12,,,,0,7,
63,Thomas Axen,"Calle Tercera, 123",Los Ángeles,CA,México,3,2006-04-25,2006-04-25,10,50,0,500,7,Almíbar Northwind Traders
63,Thomas Axen,"Calle Tercera, 123",Los Ángeles,CA,México,3,2006-04-25,2006-04-25,40,3,0,120,7,Salsa curry Northwind Traders
64,Francisco Pérez-Olaeta,"Calle Sexta, 123",Milwaukee,WI,México,6,2006-05-09,2006-05-09,,,,0,12,
65,Amritansh Raghav,"Calle Vigesimoséptima, 123",Memphis,TN,México,28,2006-05-11,2006-05-11,,,,0,10,
66,Elizabeth Andersen,"Calle Octava, 123",Portland,OR,México,8,2006-05-24,2006-05-24,,,,0,5,
67,Roland Wacker,"Calle Décima, 123",Chicago,IL,México,10,2006-05-24,2006-05-24,10,20,0,200,9,Almendras Northwind Traders
68,Ming-Yang Xie,"Calle Séptima, 123",Boise,ID,México,7,2006-05-24,,,,,0,0,
69,Roland Wacker,"Calle Décima, 123",Chicago,IL,México,10,2006-05-24,,3.5,15,0,52.5,0,Ciruelas pasas Northwind Traders
70,Peter Krschne,"Calle Decimoprimera, 123",Miami,FL,México,11,2006-05-24,,40,20,0,800,0,Salsa curry Northwind Traders
71,Anna Bedecs,"Calle Primera, 123",Seattle,Madrid,México,1,2006-05-24,,18.4,40,0,736,0,Carne de cangrejo Northwind Traders
72,Amritansh Raghav,"Calle Vigesimoséptima, 123",Memphis,TN,México,28,2006-06-07,2006-06-07,46,5,0,230,40,Café Northwind Traders
73,Sven Mortensen,"Calle Novena, 123",Salt Lake City,UT,México,9,2006-06-05,2006-06-05,9.65,10,0,96.5,100,Sopa de almejas Northwind Traders
74,Francisco Pérez-Olaeta,"Calle Sexta, 123",Milwaukee,WI,México,6,2006-06-08,2006-06-08,12.75,40,0,510,300,Chocolate Northwind Traders
75,Elizabeth Andersen,"Calle Octava, 123",Portland,OR,México,8,2006-06-05,2006-06-05,12.75,40,0,510,50,Chocolate Northwind Traders
76,John Rodman,"Calle Vigesimoquinta, 123",Chicago,IL,México,25,2006-06-05,2006-06-05,22,30,0,660,5,Condimentos de Louisiana Northwind Traders
77,Run Liu,"Calle Vigesimosexta, 123",Miami,FL,México,26,2006-06-05,2006-06-05,25,90,0,2250,60,Mermelada de moras y frambuesas Northwind Traders
78,Soo Jung Lee,"Calle Vigesimonovena, 123",Denver,CO,México,29,2006-06-05,2006-06-05,39,40,0,1560,200,Macedonia Northwind Traders
79,Francisco Pérez-Olaeta,"Calle Sexta, 123",Milwaukee,WI,México,6,2006-06-23,2006-06-23,30,30,0,900,0,Peras secas Northwind Traders
79,Francisco Pérez-Olaeta,"Calle Sexta, 123",Milwaukee,WI,México,6,2006-06-23,2006-06-23,53,30,0,1590,0,Manzanas secas Northwind Traders
80,Christina Lee,"Calle Cuarta, 123",Nueva York,NY,México,4,2006-04-25 17:03:55,,38,10,0,380,0,Ñoquis Northwind Traders
81,Thomas Axen,"Calle Tercera, 123",Los Ángeles,CA,México,3,2006-04-25 17:26:53,,2.99,0,0,0,0,Té verde Northwind Traders
81,Thomas Axen,"Calle Tercera, 123",Los Ángeles,CA,México,3,2006-04-25 17:26:53,,38,0,0,0,0,Ñoquis Northwind Traders
