University ID,Last Name,First Name,MI,Prog Code,Major,Class,FT/PT,Residence Hall
9131,Hughes,Peter,C,BL-TELC,Telecommunications,Senior,Full time,off-campus
9132,Rosales,Helen,R,BL-HPER,Health,Sophomore,Full time,Evers
9133,Monnin,Carl,B,BL-FINA,Fine Arts,Sophomore,Full time,Carmichael
9134,Peachey,Byron,J,BL-BI,Biology,Junior,Part time,Jackson
9135,Henderson,Lydia,A,BL-BUS,Business,Masters,Full time,off-campus
9136,Fernandez,Arthur,D,BL-BUS,Business,Masters,Full time,Carmichael
9137,Newman,Bradley,J,BL-AMID,Apparel Merchandising,Sophomore,Full time,King
9138,Fuller,Jason,Q,BL-BUS,Business,Senior,Full time,Carmichael
9139,Zavala Briones,Barlaan,,BL-EALC,East Asian Language and Culture,Sophomore,Part time,Abernathy
9140,Marchant,Kurt,J,BL-HPER,Health,Senior,Full time,Seale
9141,Cordle,Martha,C,BL-EDUC,Education,Sophomore,Full time,Newton
9142,Gracia Bueno,Quimey,,BL-BI,Biology,Senior,Full time,Wilkins
9143,Jordan,Robert,D,BL-AMID,Apparel Merchandising,Junior,Full time,Jackson
9144,Dean,Juan,N,BL-EDUC,Education,Senior,Full time,Newton
9145,Stratz,Gertrude,C,BL-UDIV,Theatre,Sophomore,Part time,Wilkins
9146,Pabón Cabán,Iguazel,,BL-EDUC,Education,Sophomore,Full time,Evers
9147,Montez Campos,Alem,,BL-FINA,Fine Arts,Junior,Full time,Wilkins
9148,Portillo Cano,Natan,,BL-UDIV,Theatre,Sophomore,Full time,King
9149,Godfrey,Shannon,I,BL-HPER,Health,Senior,Full time,King
9150,Huff,Scott,K,BL-BUS,Business,Senior,Full time,Newton
9151,Black,Billy,M,BL-MATH,Mathematics,Junior,Part time,Evers
9152,Matías Castellanos,Vittorio,,BL-HPER,Health,Junior,Full time,Wilkins
9153,Goolsby,Ora,M,BL-ANTH,Anthropology,Junior,Full time,King
9154,Jackson,Mindy,G,BL-BI,Biology,Junior,Full time,Newton
9155,Armijo Cazares,Valderrama,,BL-HPER,Health,Sophomore,Full time,Evers
9156,Caldera Ceballos,Teseo,,BL-CMCL,Communication,Junior,Full time,Carmichael
9157,Amador Cedillo,Bela,,BL-ARSC,Psychology,Sophomore,Full time,King
9158,Foreman,James,E,BL-POLS,Political Science,Sophomore,Full time,Seale
9159,Binette,Daniel,R,BL-LAWS,Law,Professional Fourth ,Full time,Carmichael
9160,Ma,An,,BL-POLS,Political Science,Senior,Full time,Evers
9161,Pan,Cui,,BL-NELC,Psychology,Masters,Part time,off-campus
9162,Hsü,Ping,,BL-BI,Biology,Sophomore,Part time,Jackson
9163,Jen,Chang,,BL-PSY,Psychology,Junior,Full time,Jackson
9164,Yao,Shi,,BL-HPER,Health,Sophomore,Part time,Carmichael
9165,K'ung,Yue Wan,,BL-GEOL,Geology,Junior,Full time,Carmichael
9166,Hou,Lian,,BL-BUS,Business,Sophomore,Part time,Newton
9167,Niita,Ikkei,,BL-EDUC,Education,Junior,Full time,Carmichael
9168,Kelly,Gloria,J,BL-THTR,Theatre,Freshman,Full time,Jackson
9169,Wu,Dewei,,BL-DENT,Geology,Sophomore,Part time,Wilkins
9170,Liang,Yue Yan,,BL-HPER,Health,Senior,Full time,Jackson
9171,Smith,Dudley,B,BL-PSY,Psychology,Junior,Full time,Evers
9172,Ferro,Susan,J,BL-SPEA,Public and Environmental Affairs,Junior,Full time,Carmichael
9173,Perkins,Mitchell,M,BL-ARSC,Psychology,Sophomore,Full time,Newton
9174,Roldán Collado,Sigfrido,,BL-THTR,Theatre,Junior,Full time,King
9175,Lerma Collazo,Davor,,BL-BI,Biology,Senior,Full time,Seale
9176,Hoppenstedt,Alberto,E,BL-ENG,English,Junior,Full time,Evers
9177,Inman,Martha,J,BL-JOUR,Journalism,Senior,Full time,Wilkins
9178,Murrah,Ruth,R,BL-BUS,Business,Sophomore,Full time,Evers
9179,Urrútia Colón,Umberto,,BL-BUS,Business,Senior,Full time,Wilkins
9180,Thibodeaux,Diana,G,BL-SCS,Music,Sophomore,Full time,Newton
9181,Abrams,Laura,R,BL-SPEA,Public and Environmental Affairs,Junior,Full time,Carmichael
9182,Harris,Mathew,,BL-EDUC,Education,Senior,Part time,off-campus
9183,Olmos Covas,Diómedes,,BL-BUS,Business,Sophomore,Full time,Jackson
9184,Childers,Corinne,S,BL-MUS,Music,Certificate Grad,Full time,Seale
9185,Owens,Maria,J,BL-BUS,Business,Masters,Full time,King
9186,Urwin,Marie,S,BL-SPEA,Public and Environmental Affairs,Junior,Full time,Seale
9187,Gibson,Bridgett,J,BL-BUS,Business,Senior,Full time,Abernathy
9188,Oike,Takumi,,BL-ENG,English,Senior,Full time,Abernathy
9189,Miyabara,Ayato,,BL-BI,Biology,Senior,Full time,Carmichael
9190,Thomas,Travis,M,BL-MATH,Mathematics,Senior,Full time,Seale
9191,Brown,Ashley,L,BL-BI,Biology,Junior,Full time,King
9192,Wine,Lorraine,W,BL-BUS,Business,Sophomore,Full time,King
9193,Nguyen,Lucia,H,BL-TELC,Telecommunications,Junior,Full time,Abernathy
9194,Stone,Lori,M,BL-LAWS,Law,Professional Fourth ,Full time,Wilkins
9195,Hinds,Audra,J,BL-EDUC,Education,Senior,Full time,Newton
9196,Dueñas Delgado,Juvencia,,BL-INFO,Informatics,Junior,Full time,Wilkins
9197,Santillán Delgado,Raimon,,BL-MATH,Mathematics,Senior,Full time,Jackson
9198,Pantoja Domínguez,Tania,,BL-AMID,Apparel Merchandising,Freshman,Full time,Newton
9199,Bender,George,R,BL-BUS,Business,Masters,Full time,off-campus
9200,Guevara Echevarría,Lewis,,BL-ENG,English,Senior,Full time,Abernathy
9201,Shaw,Linwood,M,BL-TELC,Telecommunications,Junior,Full time,off-campus
9202,Nolte,Cristie,L,BL-INMP,Public and Environmental Affairs,Senior,Full time,Carmichael
9203,Salinas Escamilla,Emperatriz,,BL-TELC,Telecommunications,Senior,Full time,Seale
9204,Moreno Escobar,Lionela,,BL-BUS,Business,Junior,Full time,off-campus
9205,Ortiz Espinal,Eurídice,,BL-HPER,Health,Senior,Full time,Evers
9206,Chou,Xue,,BL-OPT,Optometry,Professional Third Y,Full time,King
9207,Toombs,Jonathan,E,BL-BUS,Business,Junior,Full time,off-campus
9208,Cutler,Michele,E,BL-BUS,Business,Sophomore,Full time,King
9209,Richardson,Joseph,B,BL-EDUC,Education,Senior,Full time,Evers
9210,Gangell,Ethan,L,BL-TELC,Telecommunications,Senior,Full time,Evers
9211,Ts'ao,Zhen,,BL-PSY,Psychology,Senior,Full time,Evers
9212,Ch'en,Lee,,BL-INFO,Informatics,Senior,Full time,Wilkins
9213,Hu,Jing,,BL-ENG,English,Junior,Full time,Jackson
9214,Aizawa,Chisano,,BL-SPAN,Geology,Masters,Full time,Seale
9215,Yamashita,Tomoyo,,BL-SPEA,Public and Environmental Affairs,Sophomore,Full time,Carmichael
9216,Miyashita,Keiya,,BL-SCS,Music,Freshman,Full time,Evers
9217,Solorio Galarza,Gianluca,,BL-ANTH,Anthropology,Junior,Full time,Abernathy
9218,Rael Gallegos,Ale,,BL-JOUR,Journalism,Junior,Full time,Jackson
9219,Ceja Garica,Hermógenes,,BL-HPER,Health,Masters,Part time,Jackson
9220,Tamayo Gastelum,Reginaldo,,BL-SPHS,Public and Environmental Affairs,Junior,Full time,Jackson
9221,Griego,Jarrod,C,BL-SPEA,Public and Environmental Affairs,Masters,Part time,Evers
9222,Wilds,Ray,,BL-SOC,Geology,Sophomore,Full time,Wilkins
9223,Patton,Mario,B,BL-TELC,Telecommunications,Sophomore,Full time,Abernathy
9224,Hudson,Robert,A,BL-HPER,Health,Senior,Full time,Jackson
9225,Martin,Lonnie,,BL-SLIS,Informatics,Grad Special,Part time,off-campus
9226,Mulkey,Jeffrey,D,BL-HPER,Health,Senior,Full time,King
9227,Veitenheimer,Lynn,M,BL-SCS,Music,Associate Sophomore,Part time,Evers
9228,Bueno Guerrero,Raymi,,BL-CHEM,Geology,Doctorate,Full time,off-campus
9229,Portillo Guzmán,Argentino,,BL-BUS,Business,Senior,Full time,Abernathy
9230,Ch'iu,Chen,,BL-EDUC,Education,Senior,Full time,off-campus
9231,Riffle,Hilaria,B,BL-BUS,Business,Senior,Full time,Carmichael
9232,Kahoun,Fidel,M,BL-MUS,Music,Doctorate,Full time,Carmichael
9233,Meza,Robert,J,BL-HPER,Health,Sophomore,Full time,Carmichael
9234,Okamoto,Ayu,,BL-MUS,Music,Doctorate,Part time,Carmichael
9235,Holm,Carol,R,BL-BUS,Business,Sophomore,Full time,Evers
9236,Rudy,Joseph,C,BL-JOUR,Journalism,Junior,Full time,Carmichael
9237,Chien,Wen,,BL-CSCI,Informatics,Junior,Full time,King
9238,Hsiao,Jin,,BL-SLIS,Informatics,Masters,Full time,Wilkins
9239,Sun,Huan Yue,,BL-BUS,Business,Junior,Full time,off-campus
9240,Pagan Hernádez,Adriana,,BL-SPEA,Public and Environmental Affairs,Senior,Full time,Evers
9241,Vigil Hernádez,Emigdio,,BL-BUS,Business,Junior,Full time,King
9242,Ruff,Mamie,R,BL-SCS,Music,Undergrad Special,Full time,Wilkins
9243,Delorme,Margaret,J,BL-BUS,Business,Junior,Full time,Carmichael
9244,Mclemore,Nancy,T,BL-POLS,Political Science,Senior,Part time,Jackson
9245,Pittman,Raymond,C,BL-BUS,Business,Senior,Full time,Seale
9246,Martin,Jesse,W,BL-POLS,Political Science,Sophomore,Full time,Abernathy
9247,Mann,Anthony,V,BL-TELC,Telecommunications,Sophomore,Full time,Evers
9248,Hernandez,Betty,C,BL-BUS,Business,Senior,Full time,Wilkins
9249,Scheerer,Rebecca,T,BL-EDUC,Education,Junior,Full time,King
9250,Sumner,Roger,M,BL-BUS,Business,Junior,Full time,Carmichael
9251,Wilson,Darrel,L,BL-SPEA,Public and Environmental Affairs,Masters,Full time,Wilkins
9252,Pan,Li Wei,,BL-HPER,Health,Senior,Full time,Evers
9253,Chao,Chan,,BL-UDIV,Theatre,Sophomore,Full time,Wilkins
9254,Chiang,Rong,,BL-SPEA,Public and Environmental Affairs,Senior,Full time,King
9255,Tang,Li,,BL-BUS,Business,Senior,Full time,Carmichael
9256,Lung,Bo,,BL-CHEM,Geology,Senior,Full time,Wilkins
9257,Sung,Chan,,BL-LING,Communication,Doctorate,Part time,Seale
9258,He,Jun,,BL-LAWS,Law,Professional Fourth ,Full time,Evers
9259,Yin,An,,BL-BUS,Business,Sophomore,Full time,Carmichael
9260,Lin,Yue Ying,,BL-BUS,Business,Sophomore,Full time,Seale
9261,Tsou,Ye,,BL-BUS,Business,Senior,Full time,Wilkins
9262,Tao,Kuan-Yin,,BL-ARSC,Psychology,Undergrad Special,Full time,Wilkins
9263,Kung,Yue You,,BL-EDUC,Education,Sophomore,Full time,Newton
9264,Chin,Jin,,BL-BUS,Business,Junior,Part time,Jackson
9265,Rogers,Anthony,L,BL-BUS,Business,Senior,Full time,Wilkins
9266,Ortiz,Fernando,E,BL-MUS,Music,Senior,Full time,off-campus
9267,Grillo,Eugene,D,BL-CHEM,Geology,Junior,Full time,Abernathy
9268,Sun,Shing,,BL-BUS,Business,Junior,Full time,off-campus
9269,Fan,Guan-yin,,BL-BUS,Business,Sophomore,Part time,King
9270,Tsai,Bi,,BL-BUS,Business,Sophomore,Full time,Newton
9271,Tai,Cheng,,BL-BUS,Business,Junior,Full time,Newton
9272,Bouzuki,Serino,,BL-BI,Biology,Senior,Full time,Abernathy
9273,Mori,Nao,,BL-INTL,Communication,Sophomore,Full time,King
9274,Fujikawa,Shinsuke,,BL-JOUR,Journalism,Senior,Full time,Evers
9275,Hostetter,James,J,BL-BUS,Business,Senior,Full time,off-campus
9276,Miyata,Saaya,,BL-HPER,Health,Senior,Full time,King
9277,Sugihara,Shiyomi,,BL-EDUC,Education,Senior,Full time,Abernathy
9278,Navarro,Joan,D,BL-ENG,English,Masters,Full time,Evers
9279,Koga,Risae,,BL-FINA,Fine Arts,Senior,Full time,Carmichael
9280,Roldán Jasso,Loreta,,BL-SCS,Music,Senior,Full time,Jackson
9281,Tseng,Xia,,BL-OPT,Optometry,Professional Fourth ,Full time,Jackson
9282,T'an,Xin Qian,,BL-TELC,Telecommunications,Sophomore,Full time,Wilkins
9283,Kirkendall,Scott,D,BL-EDUC,Education,Doctorate,Part time,Wilkins
9284,Sikes,Annabell,,BL-SLIS,Informatics,Masters,Full time,off-campus
9285,Sanders,Sarah,R,BL-CHEM,Geology,Senior,Full time,off-campus
9286,Rice,Richard,M,BL-BUS,Business,Masters,Full time,Seale
9287,Martin,Russell,R,BL-FOLK,Informatics,Doctorate,Part time,Abernathy
9288,Jordan,Mary,R,BL-EDUC,Education,Senior,Full time,Wilkins
9289,Mcwhorter,Tommy,C,BL-TELC,Telecommunications,Senior,Full time,King
9290,Tada,Kahoru,,BL-BUS,Business,Senior,Full time,Jackson
9291,Edwards,Rose,E,BL-CJUS,Criminal Justice,Senior,Full time,Wilkins
9292,Hsia,Dewei,,BL-JOUR,Journalism,Junior,Full time,Jackson
9293,Kitano,Natsuyo,,BL-EDUC,Education,Doctorate,Full time,Newton
9294,Kubo,Sayo,,BL-CSCI,Informatics,Doctorate,Full time,Wilkins
9295,Kurata,Chihoko,,BL-BUS,Business,Sophomore,Full time,Carmichael
9296,Inglis,Maurice,A,BL-BUS,Business,Sophomore,Full time,Newton
9297,Aoki,Fuyuka,,BL-PSY,Psychology,Senior,Part time,Jackson
9298,Yen,Ning,,BL-CMLT,Communication,Doctorate,Part time,off-campus
9299,Tanikawa,Shigeki,,BL-ECON,Informatics,Junior,Full time,Abernathy
9300,Murai,Ryuuji,,BL-POLS,Political Science,Senior,Full time,Evers
9301,Mori,Sonoko,,BL-BUS,Business,Sophomore,Full time,Newton
9302,Araki,Kazuho,,BL-EDUC,Education,Junior,Full time,off-campus
9303,Miyazaki,Shiori,,BL-EDUC,Education,Doctorate,Full time,King
9304,Uchiumi,Engo,,BL-HIST,Informatics,Junior,Full time,off-campus
9305,Takeda,Ichirou,,BL-ENG,English,Sophomore,Part time,Newton
9306,Webb,Sharon,D,BL-HPER,Health,Sophomore,Full time,Evers
9307,Arakaki,Sachiko,,BL-BUS,Business,Sophomore,Full time,off-campus
9308,Miki,Aiya,,BL-HIST,Informatics,Junior,Full time,Abernathy
9309,Yuan,Yuan,,BL-BUS,Business,Freshman,Full time,Evers
9310,Kojima,Kiyo,,BL-HPER,Health,Junior,Full time,Carmichael
9311,Wakabayashi,Ikuya,,BL-HPER,Health,Junior,Full time,Jackson
9312,Fukumoto,Misayo,,BL-BUS,Business,Sophomore,Full time,off-campus
9313,Cerda Laboy,Matthew,,BL-EDUC,Education,Senior,Full time,Carmichael
9314,Pacheco Laboy,Carissa,,BL-UDIV,Theatre,Sophomore,Full time,Wilkins
9315,Yüan,Xia He,,BL-EDUC,Education,Sophomore,Full time,Newton
9316,Shih,Jing,,BL-MUS,Music,Associate Sophomore,Full time,off-campus
9317,Liang,Lin,,BL-POLS,Political Science,Doctorate,Full time,Evers
9318,Shih,Sying,,BL-CHEM,Geology,Junior,Full time,Abernathy
9319,Cloutier,Martha,C,BL-SPAN,Geology,Sophomore,Full time,Evers
9320,Carney,Joseph,A,BL-FOLK,Informatics,Doctorate,Part time,Newton
9321,Hughes,Chase,R,BL-MUS,Music,Junior,Full time,Wilkins
9322,Castro,Ellen,J,BL-BI,Biology,Senior,Part time,Abernathy
9323,González Lebrón,Abner,,BL-TELC,Telecommunications,Senior,Full time,King
9324,Hannon,Natalie,A,BL-UDIV,Theatre,Freshman,Part time,Carmichael
9325,Phelps,Leon,N,BL-BUS,Business,Senior,Full time,King
9326,Ko,Hsin,,BL-EDUC,Education,Junior,Full time,Evers
9327,Sung,Bo,,BL-LAWS,Law,Professional Fourth ,Full time,Abernathy
9328,Tseng,Ju,,BL-ENG,English,Junior,Full time,King
9329,P'an,Cai,,BL-BUS,Business,Masters,Full time,King
9330,Creager,Margaret,W,BL-EDUC,Education,Senior,Full time,King
9331,Gulbranson,Daniel,K,BL-BUS,Business,Junior,Full time,King
9332,Carrera Linares,Gladys,,BL-CJUS,Criminal Justice,Senior,Full time,Carmichael
9333,Lemaire,Lawrence,J,BL-CMCL,Communication,Sophomore,Full time,Newton
9334,Parker,Beverly,C,BL-BUS,Business,Senior,Full time,Jackson
9335,Masters,Mercedes,A,BL-CJUS,Criminal Justice,Junior,Full time,King
9336,Marshall,Cornelia,J,BL-BI,Biology,Senior,Full time,Seale
9337,Gutiérrez Luna,Filebert,,BL-EDUC,Education,Senior,Full time,Evers
9338,Hung,Heng,,BL-EDUC,Education,Junior,Full time,Seale
9339,Tsai,Li,,BL-JOUR,Journalism,Sophomore,Full time,off-campus
9340,Liao,On,,BL-HPER,Health,Junior,Full time,Evers
9341,Nishizawa,Kyouka,,BL-SPEA,Public and Environmental Affairs,Masters,Full time,off-campus
9342,Masuda,Shigeko,,BL-BUS,Business,Sophomore,Full time,Abernathy
9343,Kitajima,Ikuo,,BL-AMID,Apparel Merchandising,Senior,Full time,Newton
9344,Mateo Maldonado,Rosamunda,,BL-HIST,Informatics,Junior,Full time,Newton
9345,Amaya Maldonado,Ama,,BL-TELC,Telecommunications,Sophomore,Full time,Abernathy
9346,Norman,Charles,T,BL-CLAS,Informatics,Sophomore,Full time,Evers
9347,Yeh,Xiong,,BL-BUS,Business,Junior,Full time,Wilkins
9348,Carter,David,L,BL-MUS,Music,Masters,Full time,King
9349,Rivera,Geneva,L,BL-PHIL,Informatics,Senior,Full time,Carmichael
9350,Stewart,Lila,G,BL-PSY,Psychology,Sophomore,Full time,off-campus
9351,Urías Marrero,Glauc,,BL-SOC,Geology,Junior,Full time,Jackson
9352,Sroka,Shirley,,BL-NELC,Psychology,Masters,Full time,Newton
9353,Hamasaki,Keiji,,BL-BUS,Business,Sophomore,Full time,King
9354,Ouchi,Fumiko,,BL-BUS,Business,Senior,Full time,Abernathy
9355,Fukumoto,Yoshikazu,,BL-BI,Biology,Junior,Full time,Carmichael
9356,Christman,Richard,L,BL-POLS,Political Science,Junior,Full time,King
9357,Morrison,Douglas,,BL-CHEM,Geology,Senior,Full time,Evers
9358,Howell,Frank,K,BL-BI,Biology,Sophomore,Full time,Evers
9359,Trevino,Paul,,BL-PSY,Psychology,Sophomore,Full time,Jackson
9360,Ulibarri Mejía,Incul,,BL-BUS,Business,Senior,Full time,Carmichael
9361,Ootsuki,Jinya,,BL-BUS,Business,Senior,Full time,Newton
9362,Richard,Dave,J,BL-POLS,Political Science,Senior,Part time,Wilkins
9363,Spencer,Gerald,T,BL-BI,Biology,Senior,Full time,Abernathy
9364,Parker,Octavia,D,BL-EDUC,Education,Senior,Full time,Abernathy
9365,Sauceda Miramontes,Erico,,BL-FINA,Fine Arts,Senior,Part time,Jackson
9366,Shinoda,Kiyoteru,,BL-ECON,Informatics,Junior,Full time,off-campus
9367,Gotou,Hiroyuki,,BL-SPEA,Public and Environmental Affairs,Junior,Full time,Newton
9368,Tokunaga,Fuyuki,,BL-HPER,Health,Sophomore,Full time,Evers
9369,Maeda,Takeki,,BL-BI,Biology,Junior,Full time,King
9370,Hoshi,Mikako,,BL-FINA,Fine Arts,Senior,Full time,Carmichael
9371,Longoria Molina,Aline,,BL-SPEA,Public and Environmental Affairs,Junior,Full time,Evers
9372,Galván Montemayor,Landolfo,,BL-HPER,Health,Senior,Full time,Newton
9373,Vallejo Mora,Odila,,BL-HPER,Health,Sophomore,Full time,Seale
9374,Boren,Ethel,D,BL-PSY,Psychology,Sophomore,Full time,Newton
9375,Miyamoto,Ayae,,BL-CJUS,Criminal Justice,Sophomore,Full time,Evers
9376,Kitahara,Yoshihiro,,BL-SPEA,Public and Environmental Affairs,Sophomore,Full time,Carmichael
9377,Nelson,Betsy,L,BL-EDUC,Education,Junior,Full time,Evers
9378,Gonzales,Lucille,H,BL-PSY,Psychology,Junior,Full time,Seale
9379,Katagiri,Shiemi,,BL-CHEM,Geology,Sophomore,Part time,Seale
9380,Mckinney,Byron,J,BL-EDUC,Education,Senior,Full time,King
9381,Saavedra Muñoz,Mirta,,BL-EDUC,Education,Junior,Full time,Jackson
9382,Okada,Tsuguto,,BL-BUS,Business,Junior,Full time,Carmichael
9383,Montanez Murillo,Mariana,,BL-HPER,Health,Junior,Full time,Abernathy
9384,David,Matthew,,BL-HPER,Health,Senior,Full time,off-campus
9385,Fukuoka,Kii,,BL-MUS,Music,Doctorate,Full time,Evers
9386,Nishi,Nonoe,,BL-POLS,Political Science,Senior,Full time,Newton
9387,Shikikawa,Mugito,,BL-REL,Communication,Senior,Full time,Evers
