ID Empl,Last Name,Name,Position,Area,Section,Salary,Date of Entry
1815,Fein,Caroline,Engineering Director,Engineering,Copy Machines,70934.88,1980-02-25
1816,Lin,Michael,Software Eng.,Engineering,Fax,35480.4,1990-07-08
1906,Bankler,Rowena,Administrative Auxiliar,Marketing,Printers,31916.94,1989-09-28
1907,Homes,Megan,Administrative Auxiliar,Marketing,Printers,33051.48,1989-09-20
1908,Zostoc,Melissa,Unit Director,Administration,Fax,72819.6,1984-05-15
1922,Smith,Barbara,Aux. Technician,Engineering,Printers,28404.8,1986-12-05
1923,Barber,Lisa,Product Manager,Marketing,Fax,47985.6,1986-11-27
1931,Mueller,Ursula,Accountant,Accounting,Copy Machines,26101.44,1989-06-20
1932,McGuire,Ellen,Accountant,Accounting,Fax,47852.64,1989-06-12
1933,Johnson,Miguel,Technician Eng,Engineering,Fax,67535.16,1984-01-08
1949,Sampson,Carla,Product Manager,Marketing,Copy Machines,62981.1,1981-10-12
1950,Smith,Rich,Group Mgr.,Marketing,Fax,104565.3,1981-10-04
1960,Fontaine,Jean,Administrative Auxiliar,Accounting,Copy Machines,28043.68,1986-11-13
1961,Mueller,Kris,Administrative Auxiliar,Administration,Fax,27081.04,1986-11-05
1962,Wolf,Hilda,Representative,Marketing,Printers,66602.88,1987-10-22
1966,Corwick,Rob,Desing auxiliar,Desing,Fax,23239.44,1991-11-17
1967,Aruda,Felice,Administrative Auxiliar,Administration,Copy Machines,23212.32,1991-11-09
1967,Cortlandt,Charles,Representative,Marketing,Copy Machines,58277.52,1982-04-13
1968,Martinez,Sara,Product Manager,Marketing,Copy Machines,35989.2,1993-01-01
1968,Larssen,Erika,Office Manager,Administration,Printers,65821.56,1982-04-05
1969,West,Cara,Representative,Marketing,Printers,58277.52,1989-04-14
1975,Franklin,Larry,Accounting Assistant,Accounting,Copy Machines,21887.95,1991-05-07
1976,Petry,Robin,Administrative Auxiliar,Engineering,Printers,23035.88,1991-04-29
1977,Maguire,Mollie,Desing Specialist,Desing,Copy Machines,30013.62,1980-06-13
1977,Gladstone,Wes,Software Eng.,Engineering,Fax,48785.55,1991-09-09
1978,Silverberg,Jay,Chief engineer,Engineering,Fax,51878.84,1980-06-05
