#,Date,Vendor,Client,Brand,Cost,Selling price,% Profit
S-68,2022-08-17,Jacob,Aleen Plain,Acer,1001.99,1097,0.0948213056
S-69,2022-08-18,Ben,Anet Carden,Sony,1121.86,1191.75,0.062298326
S-70,2022-08-18,Jacob,Leonid Pohlke,LG,776.22,961.25,0.2383731416
S-71,2022-08-19,Ben,Hedda Julyan,Apple,779.66,900.75,0.1553112895
S-72,2022-08-19,Jacob,Sela Marjoribanks,Microsoft,850.14,932.25,0.096584092
S-73,2022-08-22,Ben,Jervis Turley,Acer,896.25,1008.25,0.1249651325
S-74,2022-08-22,Jacob,Gisela McIlveen,Sony,1051,1133,0.0780209324
S-75,2022-08-23,Ben,Sapphire Davisson,Asus,1385.5,1504.5,0.0858895706
S-76,2022-08-23,Jacob,Moyna Bernet,Asus,1075.76,1262.75,0.1738212984
S-77,2022-08-24,Ben,Gawen Hustings,Microsoft,896.05,957,0.0680207578
S-78,2022-08-24,Jacob,Stewart Withur,Acer,843.34,1039.25,0.2323025114
S-79,2022-08-25,Ben,Morgan Zaniolini,Sony,1211.66,1325.75,0.0941600779
S-80,2022-08-25,Jacob,Omar Starmont,Lenovo,1357.2,1463.25,0.0781388152
S-81,2022-08-26,Ben,Lea Broadberry,Lenovo,940.87,1027.75,0.0923400682
S-82,2022-08-26,Jacob,Meridith Gaw,Apple,1274.05,1455,0.142027393
S-83,2022-08-29,Ben,Leonanie Wiszniewski,Microsoft,1179.06,1376,0.167031364
S-84,2022-08-29,Jacob,Myles Bodechon,MSI,774.2,946.25,0.2222293981
S-85,2022-08-30,Ben,Kandace Polon,HP,1350.48,1509.5,0.1177507257
S-86,2022-08-30,Jacob,Laetitia Kleinsmuntz,Dell,1053.37,1136.25,0.0786808054
S-87,2022-08-31,Ben,Marcile Rigden,Sony,1161.92,1237,0.0646171853
S-88,2022-08-31,Jacob,Angie Preshaw,Lenovo,951.93,1136,0.1933650584
