ID,Last Name,Name,Categoría,Area,Category,Salary,Entrance date,Date of birth
1675,Melendez,Jaime,Aux. Admin. Unidad,Accounting,Fax,29045.24,1992-03-17 00:00:00,1964-01-28 00:00:00
1960,Fontaine,Jean,Aux. Admin. Unidad,Accounting,Copy Machine,28043.68,1986-11-13 00:00:00,1965-03-22 00:00:00
1011,Gorton,Hazel,Auxiliar Contable,Accounting,Copy Machine,27597.85,1986-02-03 00:00:00,1964-11-21 00:00:00
1152,Henders,Mark,Auxiliar Contable,Accounting,Printer,26646.2,1990-01-21 00:00:00,1965-10-23 00:00:00
1516,Bell,Tom,Auxiliar Contable,Accounting,Printer,28549.5,1985-03-06 00:00:00,1963-06-26 00:00:00
1674,Boughton,Frank,Auxiliar Contable,Accounting,Fax,27597.85,1992-03-25 00:00:00,1964-01-17 00:00:00
1975,Franklin,Larry,Auxiliar Contable,Accounting,Copy Machine,21887.95,1991-05-07 00:00:00,1970-09-28 00:00:00
1300,Richards,Phillip,Contable,Accounting,Printer,30451.68,1989-12-13 00:00:00,1965-09-24 00:00:00
1330,Selznick,Anna,Contable,Accounting,Copy Machine,31539.24,1989-02-14 00:00:00,1964-05-17 00:00:00
1573,Robbins,Bob,Contable,Accounting,Fax,35889.48,1988-07-07 00:00:00,1960-05-31 00:00:00
1657,Wells,Rose,Contable,Accounting,Printer,32626.8,1987-12-06 00:00:00,1963-10-10 00:00:00
1931,Mueller,Ursula,Contable,Accounting,Copy Machine,26101.44,1989-06-20 00:00:00,1969-05-28 00:00:00
1932,McGuire,Ellen,Contable,Accounting,Fax,47852.64,1989-06-12 00:00:00,1949-06-08 00:00:00
1054,Smith,Howard,Aux. Diseño,Design,Copy Machine,25176.06,1991-04-16 00:00:00,1967-08-09 00:00:00
1075,Kane,Sheryl,Aux. Diseño,Design,Printer,23239.44,1992-08-07 00:00:00,1969-08-28 00:00:00
1966,Corwick,Rob,Aux. Diseño,Design,Fax,23239.44,1991-11-17 00:00:00,1969-05-04 00:00:00
1067,Scote,Gail,Especialista Diseño,Design,Fax,36939.84,1987-09-20 00:00:00,1961-09-30 00:00:00
1695,Nelson,Ed,Especialista Diseño,Design,Fax,38094.21,1984-10-20 00:00:00,1960-01-05 00:00:00
1758,Brwyne,Melia,Especialista Diseño,Design,Printer,35785.47,1982-03-18 00:00:00,1962-10-23 00:00:00
1792,Barton,Eileen,Especialista Diseño,Design,Copy Machine,28859.25,1990-12-24 00:00:00,1968-10-03 00:00:00
1977,Maguire,Mollie,Especialista Diseño,Design,Copy Machine,30013.62,1980-06-13 00:00:00,1967-09-15 00:00:00
1041,Tercan,Robert,Aux. Admin. Unidad,R & D,Printer,28043.68,1992-04-16 00:00:00,1965-01-25 00:00:00
1334,Kaneko,Midori,Aux. Admin. Unidad,R & D,Fax,28043.68,1990-04-08 00:00:00,1965-10-18 00:00:00
1674,Cummins,Dave,Aux. Admin. Unidad,R & D,Copy Machine,31048.36,1990-04-08 00:00:00,1962-09-12 00:00:00
1080,Foss,Felix,Investigador,R & D,Printer,64738.18,1988-10-29 00:00:00,1952-12-06 00:00:00
1370,Townes,Everett,Investigador,R & D,Printer,53685.32,1987-11-27 00:00:00,1959-05-23 00:00:00
1531,Lempert,Alexandra,Investigador,R & D,Copy Machine,41053.48,1986-05-11 00:00:00,1967-01-19 00:00:00
1677,Levine,Eric,Investigador,R & D,Fax,37895.52,1987-11-06 00:00:00,1969-09-16 00:00:00
1353,Hardy,Bill,Investigador Jefe,R & D,Printer,59455.2,1982-09-10 00:00:00,1958-08-02 00:00:00
1369,Barth,Sandra,Investigador Jefe,R & D,Fax,57756.48,1983-03-03 00:00:00,1959-05-19 00:00:00
1427,Price,David,Investigador Jefe,R & D,Copy Machine,59455.2,1977-08-31 00:00:00,1958-03-19 00:00:00
1361,Stone,Cindy,Técnico,R & D,Printer,34605.45,1988-07-22 00:00:00,1960-06-22 00:00:00
1168,Asonte,Toni,Aux. Admin. Unidad,Engineering,Fax,23035.88,1991-04-10 00:00:00,1970-07-08 00:00:00
1360,Raye,Alice,Aux. Admin. Unidad,Engineering,Copy Machine,33051.48,1988-08-01 00:00:00,1960-06-18 00:00:00
1976,Petry,Robin,Aux. Admin. Unidad,Engineering,Printer,23035.88,1991-04-29 00:00:00,1970-10-09 00:00:00
1509,Kegler,Pam,Aux. Administrativo,Engineering,Fax,29982.58,1985-06-19 00:00:00,1962-10-24 00:00:00
1529,Kellerman,Tommie,Aux. Administrativo,Engineering,Printer,25146.68,1987-01-28 00:00:00,1967-01-04 00:00:00
1673,Dixon-Waite,Sherrie,Aux. Administrativo,Engineering,Copy Machine,29982.58,1990-04-16 00:00:00,1962-09-01 00:00:00
1299,Simpson,Sandrae,Aux. Técnico,Engineering,Copy Machine,24854.2,1989-12-21 00:00:00,1965-09-13 00:00:00
1352,Ygarre,Lisa,Aux. Técnico,Engineering,Printer,31067.75,1982-09-18 00:00:00,1958-07-22 00:00:00
1814,Al-Sabah,Daoud,Aux. Técnico,Engineering,Fax,21303.6,1989-03-04 00:00:00,1969-08-17 00:00:00
1922,Smith,Barbara,Aux. Técnico,Engineering,Printer,28404.8,1986-12-05 00:00:00,1961-02-24 00:00:00
1302,Berg,Bobby,Director Ingeniero,Engineering,Fax,79280.16,1984-07-29 00:00:00,1955-07-06 00:00:00
1517,Quan,Karen,Director Ingeniero,Engineering,Printer,62589.6,1985-02-26 00:00:00,1963-07-07 00:00:00
1815,Fein,Caroline,Director Ingeniero,Engineering,Copy Machine,70934.88,1980-02-25 00:00:00,1959-08-28 00:00:00
1012,Preston,Liza,Ing. Mecánico,Engineering,Printer,43394.15,1986-01-26 00:00:00,1964-12-02 00:00:00
1068,Mann,Alyssa,Ing. Mecánico,Engineering,Printer,47883.2,1987-09-12 00:00:00,1961-10-11 00:00:00
1294,North,Robert,Ing. Mecánico,Engineering,Fax,58357.65,1984-09-06 00:00:00,1954-09-05 00:00:00
1510,White,Jessica,Ing. Mecánico,Engineering,Copy Machine,46386.85,1985-06-11 00:00:00,1962-11-04 00:00:00
1696,Abdul,Cathy,Ing. Mecánico,Engineering,Copy Machine,79306.55,1984-10-12 00:00:00,1940-01-16 00:00:00
1154,Solomon,Ari,Ing. Software,Engineering,Copy Machine,56177.3,1987-07-07 00:00:00,1955-11-07 00:00:00
1169,Dorfberg,Jeremy,Ing. Software,Engineering,Copy Machine,34002.05,1992-10-13 00:00:00,1970-07-12 00:00:00
1303,Lark,Donald,Ing. Software,Engineering,Printer,56177.3,1988-03-03 00:00:00,1955-07-10 00:00:00
1331,Cash,Mary,Ing. Software,Engineering,Printer,42872.15,1989-05-11 00:00:00,1964-05-21 00:00:00
1518,Smythe,Leslie,Ing. Software,Engineering,Printer,44350.5,1990-06-18 00:00:00,1963-07-11 00:00:00
1658,Coyne,Dennis,Ing. Software,Engineering,Copy Machine,44350.5,1988-06-06 00:00:00,1963-10-14 00:00:00
1816,Lin,Michael,Ing. Software,Engineering,Fax,35480.4,1990-07-08 00:00:00,1969-09-01 00:00:00
1977,Gladstone,Wes,Ing. Software,Engineering,Fax,48785.55,1991-09-09 00:00:00,1960-10-13 00:00:00
1301,Sofer,Ariel,Ing. Técnico,Engineering,Printer,58325.82,1986-01-09 00:00:00,1955-09-28 00:00:00
1354,Beech,Susan,Ing. Técnico,Engineering,Copy Machine,69070.05,1986-05-06 00:00:00,1948-08-06 00:00:00
1428,Ferngood,Jules,Ing. Técnico,Engineering,Printer,53721.15,1986-11-12 00:00:00,1958-03-23 00:00:00
1574,Weston,Sam,Ing. Técnico,Engineering,Fax,50651.37,1986-02-09 00:00:00,1960-06-04 00:00:00
1933,Johnson,Miguel,Ing. Técnico,Engineering,Fax,67535.16,1984-01-08 00:00:00,1949-06-12 00:00:00
1076,McKormick,Brad,Ingeniero Jefe,Engineering,Copy Machine,105753.02,1979-07-30 00:00:00,1940-09-08 00:00:00
1759,Alexi,Stephanie,Ingeniero Jefe,Engineering,Printer,61855.54,1982-03-10 00:00:00,1962-11-03 00:00:00
1978,Silverberg,Jay,Ingeniero Jefe,Engineering,Fax,51878.84,1980-06-05 00:00:00,1967-09-26 00:00:00
1293,Cronwith,Brent,Técnico,Engineering,Printer,40897.35,1984-09-14 00:00:00,1954-08-25 00:00:00
1310,Smith,Ellen,Técnico,Engineering,Fax,30410.85,1986-10-04 00:00:00,1964-11-02 00:00:00
1329,Vuanuo,Tuome,Técnico,Engineering,Printer,30410.85,1989-02-22 00:00:00,1964-05-06 00:00:00
1333,Szcznyck,Tadeuz,Técnico,Engineering,Copy Machine,29362.2,1990-04-16 00:00:00,1965-10-07 00:00:00
1556,Davison,Karen,Técnico,Engineering,Printer,29362.2,1981-11-26 00:00:00,1965-09-11 00:00:00
1572,Tuppman,Lise-Anne,Técnico,Engineering,Printer,34605.45,1988-07-15 00:00:00,1960-05-20 00:00:00
1723,Alstain,Isolde,Técnico,Engineering,Fax,29362.2,1990-08-06 00:00:00,1965-05-10 00:00:00
1055,Albert,Maxine,Aux. Admin. Unidad,Market,Copy Machine,26040.56,1991-04-08 00:00:00,1967-08-20 00:00:00
1724,Chu,Steven,Aux. Admin. Unidad,Market,Printer,28043.68,1990-07-29 00:00:00,1965-05-21 00:00:00
1907,Homes,Megan,Aux. Admin. Unidad,Market,Printer,33051.48,1989-09-20 00:00:00,1960-09-13 00:00:00
1078,Hapsbuch,Kendrick,Aux. Administrativo,Market,Printer,29982.58,1986-04-01 00:00:00,1962-11-21 00:00:00
1301,Sindole,Randy,Aux. Administrativo,Market,Fax,27081.04,1984-08-06 00:00:00,1965-06-25 00:00:00
1656,Kourios,Theo,Aux. Administrativo,Market,Copy Machine,29015.4,1987-12-14 00:00:00,1963-09-29 00:00:00
1906,Bankler,Rowena,Aux. Administrativo,Market,Printer,31916.94,1989-09-28 00:00:00,1960-09-02 00:00:00
1725,Farley,Sam,Director Unidad,Market,Copy Machine,97096.35,1978-02-02 00:00:00,1954-06-02 00:00:00
1285,Taylor,Ralph,Group Mgr.,Market,Printer,77179.15,1984-12-27 00:00:00,1962-12-22 00:00:00
1950,Smith,Rich,Group Mgr.,Market,Fax,104565.3,1981-10-04 00:00:00,1951-03-09 00:00:00
1167,Berwick,Sam,Representante,Market,Copy Machine,31913.88,1991-04-18 00:00:00,1970-06-27 00:00:00
1292,Seidel,Matt,Representante,Market,Printer,51339.72,1987-11-20 00:00:00,1956-04-18 00:00:00
1426,Lampstone,Pete,Representante,Market,Fax,34689,1977-09-08 00:00:00,1968-03-09 00:00:00
1675,Miller,Janet,Representante,Market,Copy Machine,33301.44,1981-10-26 00:00:00,1969-09-01 00:00:00
1962,Wolf,Hilda,Representante,Market,Printer,66602.88,1987-10-22 00:00:00,1945-04-06 00:00:00
1967,Cortlandt,Charles,Representante,Market,Copy Machine,58277.52,1982-04-13 00:00:00,1951-09-17 00:00:00
1969,West,Cara,Representante,Market,Printer,58277.52,1989-04-14 00:00:00,1951-10-02 00:00:00
1284,Bellwood,Frank,Respon. Producto,Market,Fax,46486.05,1985-01-04 00:00:00,1962-12-11 00:00:00
1311,Cane,Nate,Respon. Producto,Market,Printer,43486.95,1986-09-26 00:00:00,1964-11-13 00:00:00
1359,Morton,Sara,Respon. Producto,Market,Printer,49485.15,1990-08-09 00:00:00,1960-06-07 00:00:00
1558,Sargent,Evelyn,Respon. Producto,Market,Copy Machine,41987.4,1982-10-16 00:00:00,1965-09-26 00:00:00
1724,Sammler,Mark,Respon. Producto,Market,Printer,58482.45,1978-02-10 00:00:00,1954-05-22 00:00:00
1794,Goldberg,Malcolm,Respon. Producto,Market,Fax,37488.75,1984-12-18 00:00:00,1968-10-18 00:00:00
1923,Barber,Lisa,Respon. Producto,Market,Fax,47985.6,1986-11-27 00:00:00,1961-03-07 00:00:00
1949,Sampson,Carla,Respon. Producto,Market,Copy Machine,62981.1,1981-10-12 00:00:00,1951-02-26 00:00:00
1968,Martinez,Sara,Respon. Producto,Market,Copy Machine,35989.2,1993-01-01 00:00:00,1969-05-19 00:00:00
