Date,Vendor,Store,Product,Quantity,Unit Price,Total Sales,Year,ADVANCED FILTERS
2019-09-27 00:00:00,José Almanares,Tienda B,USB 3.0.1,4,15,60,2019,
2019-10-04 00:00:00,Carlos Vasquez,Tienda A,Laptop i3,3,9500,28500,2019,
2019-10-11 00:00:00,Juan Carlos,Tienda B,Impresora ,4,1800,7200,2019,
2019-10-18 00:00:00,Pedro Noriega,Tienda B,Laptop i5,2,3500,7000,2019,
2019-10-25 00:00:00,José Almanares,Tienda C,Impresora ,8,1800,14400,2019,
2019-11-01 00:00:00,Carlos Vasquez,Tienda A,Pantalla 42,5,950,4750,2019,
2019-11-08 00:00:00,Juan Carlos,Tienda C,Teclado,2,180,360,2019,
2019-11-15 00:00:00,Pedro Noriega,Tienda C,Mouse,4,90,360,2019,
2019-11-22 00:00:00,José Almanares,Tienda A,Teclado,5,80,400,2019,
2019-11-29 00:00:00,José Almanares,Tienda D,Laptop i7,2,2900,5800,2019,
2019-12-06 00:00:00,Carlos Vasquez,Tienda C,Laptop i7,1,2900,2900,2019,
2019-12-13 00:00:00,Juan Carlos,Tienda C,Pantalla 17,3,890,2670,2019,
2019-12-20 00:00:00,Pedro Noriega,Tienda A,Mouse,5,90,450,2019,
2019-12-27 00:00:00,José Almanares,Tienda D,Teclado,1,180,180,2019,
2020-01-03 00:00:00,Carlos Vasquez,Tienda B,Laptop i3,1,9500,9500,2020,
2020-01-10 00:00:00,Juan Carlos,Tienda C,USB 3.0.1,2,15,30,2020,
2020-01-17 00:00:00,Pedro Noriega,Tienda A,Laptop i7,6,2900,17400,2020,
2020-01-24 00:00:00,José Almanares,Tienda C,USB 3.0.1,5,15,75,2020,
2020-01-31 00:00:00,Carlos Vasquez,Tienda A,Impresora ,4,1800,7200,2020,
2020-02-07 00:00:00,Pedro Noriega,Tienda C,Mouse,4,90,360,2020,
2020-02-14 00:00:00,José Almanares,Tienda A,Teclado,5,80,400,2020,
2020-02-21 00:00:00,José Almanares,Tienda D,Laptop i7,2,2900,5800,2020,
2020-02-28 00:00:00,Carlos Vasquez,Tienda C,Laptop i7,1,2900,2900,2020,
2020-03-06 00:00:00,Juan Carlos,Tienda C,Pantalla 17,3,890,2670,2020,
2020-03-13 00:00:00,Pedro Noriega,Tienda A,Mouse,5,90,450,2020,
2020-03-20 00:00:00,José Almanares,Tienda D,Teclado,1,180,180,2020,
2020-03-27 00:00:00,Carlos Vasquez,Tienda B,Laptop i3,1,9500,9500,2020,
2020-04-03 00:00:00,Juan Carlos,Tienda C,USB 3.0.1,2,15,30,2020,
2020-04-10 00:00:00,Pedro Noriega,Tienda A,Laptop i7,6,2900,17400,2020,
2020-04-17 00:00:00,José Almanares,Tienda C,USB 3.0.1,5,15,75,2020,
2020-04-24 00:00:00,Carlos Vasquez,Tienda A,Impresora ,4,1800,7200,2020,
