Code,Names,1st Last Name,2nd Last Name,DOB,Department,Branch,Start date,Salary,Bonus
,ED-SAC88,Tamara,Villa,Juárez,Azcapozalco,,,,
,DI-LER98,Ricardo,Tapia,Enriquez,Tlalpan,,,,
,ED-OAZ93,Bruno,Diaz,Ricardez,Centro,,,,
,JU-EUT49,Karina,Ruiz,Contreras ,Tlaltenango,,,,
,ED-OOC60,Rosa,Flores,Flores ,Azcapozalco,,,,
,MI-EON29,Euduviges,Ramirez,Osorio,Centro,,,,
,ED-ASD85,José,Larios,Casas,Centro,,,,
,ED-OAS81,Pedro,Cárdenas,Rosas,Centro,,,,
,DI-DER50,Estefanía,Toledo,Ramos,Tlalpan,,,,
,JU-OEN54,Paulina,Rubio,Vallejo,Tlaltenango,,,,
,TE-ECN22,Marcela,Palacios,Mendoza,Centro,,,,
,AG-NUE42,Tiburcio,Padilla,Guerrero,Tlalpan,,,,
12,"Personel whose code begins with the letter ""E"". The results should show only the code, name, last name and branch office.",,,,,,,,
,Criteria range,,Code,,,,,,
,,,E*,,,,,,
,Code,Names,1st Last Name,2nd Last Name,Branch,,,,
,ED-AIG66,Jorge,Negrete,Vega,Centro,,,,
,ED-SEJ97,Carolina,Herrera,Hernández,Tlalpan,,,,
,ED-SAC88,Tamara,Villa,Juárez,Azcapozalco,,,,
,ED-OAZ93,Bruno,Diaz,Ricardez,Centro,,,,
,ED-OOC60,Rosa,Flores,Flores ,Azcapozalco,,,,
,ED-ASD85,José,Larios,Casas,Centro,,,,
,ED-OAS81,Pedro,Cárdenas,Rosas,Centro,,,,
13,"Personel whose code has a second character the letter ""E"". The results should show only the code, name, last name and branch office. ",,,,,,,,
,Criteria range,,Code,,,,,,
,,,?E*,,,,,,
,,,,,,,,,*E?
,,,,,,,,,*E*
,Code,Names,1st Last Name,2nd Last Name,Branch,,,,E*
,GE-OAN94,Ana,Pérez,Chavez,Tlalpan,,,,
,SE-OEC57,Pamela,López,Ortega,Tlaltenango,,,,
,GE-SAR51,Rubi,Gómez,García,Azcapozalco,,,,
,TE-ECN22,Marcela,Palacios,Mendoza,Centro,,,,
14,Personel whose last character of the code is 8,,,,,,,,
,,f(x),,,,,,,
,,False,,,,,,,
,Code,Names,1st Last Name,2nd Last Name,DOB,Department,Branch,Start date,Salary
,SU-AHI98,Diego,Luna,González,1994-06-28 00:00:00,Human resources,Tlaltenango,2016-07-14 00:00:00,2191.3298960714255
,ED-SAC88,Tamara,Villa,Juárez,1994-06-13 00:00:00,Accounting,Azcapozalco,2019-01-20 00:00:00,6319.52100766095
,DI-LER98,Ricardo,Tapia,Enriquez,1992-02-14 00:00:00,Logistics,Tlalpan,2017-02-08 00:00:00,4664.642736662653
,MI-RLB28,Andrés,Rodriguez,Carrera,1994-08-03 00:00:00,Marketing,Centro,2017-03-12 00:00:00,3435.7732767238817
15,Personel whose salary is higher than the average of the list,,,,,,,,
,,f(x),,Average Salary,4724.336068002325,,,,
,,True,,,,,,,
,Code,Names,1st Last Name,2nd Last Name,DOB,Department,Branch,Start date,Salary
,GE-OAN94,Ana,Pérez,Chavez,1991-10-29 00:00:00,Administration,Tlalpan,2014-10-23 00:00:00,7876.8496864470735
,SE-OEC57,Pamela,López,Ortega,1992-08-27 00:00:00,Administration,Tlaltenango,2019-10-09 00:00:00,6028.515125894337
,GE-SAR51,Rubi,Gómez,García,1991-04-12 00:00:00,Logistics,Azcapozalco,2012-02-12 00:00:00,6373.6382109037795
,ED-SEJ97,Carolina,Herrera,Hernández,1994-05-22 00:00:00,Logistics,Tlalpan,2016-08-03 00:00:00,5664.50788628096
,ED-SAC88,Tamara,Villa,Juárez,1994-06-13 00:00:00,Accounting,Azcapozalco,2019-01-20 00:00:00,6319.52100766095
,ED-OAZ93,Bruno,Diaz,Ricardez,1991-04-13 00:00:00,Accounting,Centro,2011-07-31 00:00:00,8336.615501591163
,JU-EUT49,Karina,Ruiz,Contreras ,1994-10-22 00:00:00,Logistics,Tlaltenango,2017-11-16 00:00:00,7425.167077136655
,MI-EON29,Euduviges,Ramirez,Osorio,1993-10-02 00:00:00,Logistics,Centro,2018-09-26 00:00:00,6130.6399923417375
,DI-DER50,Estefanía,Toledo,Ramos,1991-06-23 00:00:00,Logistics,Tlalpan,2014-12-15 00:00:00,6623.868954214595
,MI-OST29,Vicente,Fernández,Nuñez,1990-03-16 00:00:00,Human resources,Tlalpan,2014-08-10 00:00:00,4737.202840170557
,FI-AAB54,Mauricio,Garcés,Castillo,1991-11-27 00:00:00,Accounting,Azcapozalco,2019-04-12 00:00:00,5915.780625896817
,CU-OSI54,Alejandra,Guzmán,Paniagua,1993-08-14 00:00:00,Administration,Centro,2015-03-24 00:00:00,7033
,AG-NUE42,Tiburcio,Padilla,Guerrero,1994-04-01 00:00:00,Marketing,Tlalpan,2019-05-30 00:00:00,5320
